order_id,product,category,price,quantity
393,Printer,Electronics,14520.06,5
216,Mouse,Office,30991.83,7
200,Printer,Electronics,32068.83,6
360,Mouse,Accessories,27524.13,5
492,Keyboard,Office,12491.86,10
229,Tablet,Accessories,44117.06,7
452,Tablet,Office,8301.46,6
183,Mouse,Accessories,4654.5,10
212,Phone,Accessories,14853.18,6
233,Mouse,Office,16750.95,9
416,Printer,Accessories,21511.44,6
151,Phone,Office,7441.65,5
443,Monitor,Office,20345.66,8
277,Laptop,Office,6185.18,3
95,Printer,Office,35306.77,6
248,Phone,Electronics,22422.4,10
55,Monitor,Office,41170.13,3
191,Mouse,Accessories,19715.31,9
189,Keyboard,Electronics,45858.89,6
285,Keyboard,Electronics,29894.92,9
147,Tablet,Office,40390.87,8
81,Laptop,Office,32094.61,10
476,Laptop,Accessories,3814.24,10
28,Tablet,Accessories,16271.47,8
9,Phone,Accessories,22175.15,10
317,Printer,Accessories,20342.45,3
39,Keyboard,Electronics,25221.58,10
105,Keyboard,Office,41434.83,6
428,Keyboard,Accessories,49705.95,3
61,Phone,Office,38154.09,4
451,Tablet,Office,41777.53,5
205,Tablet,Accessories,24798.35,9
373,Phone,Accessories,22465.56,4
49,Keyboard,Electronics,1949.22,5
380,Monitor,Accessories,42180.7,9
385,Phone,Office,6509.73,10
357,Keyboard,Office,2881.13,8
400,Printer,Office,27525.35,6
114,Phone,Electronics,33279.64,5
130,Mouse,Electronics,12731.45,8
46,Tablet,Office,4914.78,10
383,Printer,Office,21704.26,5
316,Tablet,Accessories,7217.77,6
326,Phone,Electronics,47917.79,4
152,Mouse,Electronics,35504.55,9
348,Monitor,Office,18713.95,10
408,Laptop,Office,18791.2,4
77,Keyboard,Accessories,8992.4,3
426,Tablet,Accessories,29746.72,10
75,Printer,Electronics,24988.59,3
